I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,protein,sample,feature
0.2344947765921151,0.0,0.00027415456,0.0,0.005,0.0002077823805674883,0.0,0.0,0.005,PECAM1-1,HCC22-088-P2-S1,PECAM1
0.22344845245078906,0.0,0.00027415456,0.0,0.005,0.00021497069841304393,0.0,0.0,0.005,PTPRC-2,HCC22-088-P2-S1,PTPRC
0.19438444267431457,0.0,0.00027415456,0.0,0.005,0.0001780332805756999,0.0,0.0,0.005,mouse_IgG2a,HCC22-088-P2-S1,mouse_IgG2a
0.18564988653494213,0.0,0.00027415456,0.0,0.005,0.00019092683598765376,0.0,0.0,0.005,CD8A-1,HCC22-088-P2-S1,CD8A
0.17846774871275298,0.0,0.00027415456,0.0,0.005,0.0001951631825009767,0.0,0.0,0.005,CEACAM8-1,HCC22-088-P2-S1,CEACAM8
0.1360087762282919,1.1102230246251565e-16,0.00027415456,0.0,0.005,0.00019748119676293245,1.2534776084477575e-16,0.0,0.005,PAX5-1,HCC22-088-P2-S1,PAX5
0.13224616117065183,5.551115123125783e-16,0.00027415456,0.0,0.005,0.0001936669544576332,6.071532165918825e-16,0.0,0.005,CXCR5-1,HCC22-088-P2-S1,CXCR5
0.11881550732072856,2.901012763345534e-13,0.00027415456,0.0,0.005,0.0001785067493655267,3.076831718699809e-13,0.0,0.005,mouse_IgG2bk,HCC22-088-P2-S1,mouse_IgG2bk
0.11668512469305493,7.397416013077418e-13,0.00027415456,0.0,0.005,0.0001455677890714899,7.614987072285578e-13,0.0,0.005,FCGR3A-1,HCC22-088-P2-S1,FCGR3A
0.043322691086424184,0.004076609652111873,0.00027415456,0.00013275401415369092,0.005,0.0001459648381751975,0.004076609652111873,0.00013275401415369092,0.005,CD274-1,HCC22-088-P2-S1,CD274
0.8953124802173851,0.0,0.0001122002,0.0,0.005,0.00019410438505271937,0.0,0.0,0.005,KRT5-1,HCC22-088-P2-S2,KRT5
0.797013723157591,0.0,0.0001122002,0.0,0.005,0.000191937645296904,0.0,0.0,0.005,CD68-1,HCC22-088-P2-S2,CD68
0.7719960250792226,0.0,0.0001122002,0.0,0.005,0.0001421574646441725,0.0,0.0,0.005,CD19-1,HCC22-088-P2-S2,CD19
0.7680579327589796,0.0,0.0001122002,0.0,0.005,0.00017321682687847142,0.0,0.0,0.005,ITGAX-1,HCC22-088-P2-S2,ITGAX
0.7668753191973531,0.0,0.0001122002,0.0,0.005,0.00016657250700562786,0.0,0.0,0.005,ACTA2-1,HCC22-088-P2-S2,ACTA2
0.7618114156231423,0.0,0.0001122002,0.0,0.005,0.00015801343340438566,0.0,0.0,0.005,VIM-1,HCC22-088-P2-S2,VIM
0.7117203497567625,0.0,0.0001122002,0.0,0.005,0.00018733300126506537,0.0,0.0,0.005,BCL2-1,HCC22-088-P2-S2,BCL2
0.7082266947860869,0.0,0.0001122002,0.0,0.005,0.00014623641722589137,0.0,0.0,0.005,HLA-DRA,HCC22-088-P2-S2,HLA
0.6825241832996841,0.0,0.0001122002,0.0,0.005,0.00013254947246794932,0.0,0.0,0.005,SDC1-1,HCC22-088-P2-S2,SDC1
0.6202559329509227,0.0,0.0001122002,0.0,0.005,0.00014770750217241925,0.0,0.0,0.005,CD14-1,HCC22-088-P2-S2,CD14
0.5909551557659434,0.0,0.0001122002,0.0,0.005,0.00015207516367047498,0.0,0.0,0.005,EPCAM-1,HCC22-088-P2-S2,EPCAM
0.558549686921514,0.0,0.0001122002,0.0,0.005,0.00011697079529113786,0.0,0.0,0.005,ITGAM-1,HCC22-088-P2-S2,ITGAM
0.5408493470730934,0.0,0.0001122002,0.0,0.005,0.00012591744633037017,0.0,0.0,0.005,PCNA-1,HCC22-088-P2-S2,PCNA
0.480290363197064,0.0,0.0001122002,0.0,0.005,0.00010629504914371062,0.0,0.0,0.005,CD163-1,HCC22-088-P2-S2,CD163
0.46086347392783916,0.0,0.0001122002,0.0,0.005,0.00012849347231354272,0.0,0.0,0.005,CR2-1,HCC22-088-P2-S2,CR2
0.44950010360330034,0.0,0.0001122002,0.0,0.005,0.0001348540377159951,0.0,0.0,0.005,CD4-1,HCC22-088-P2-S2,CD4
0.44811565212284526,0.0,0.0001122002,0.0,0.005,9.8995068415325e-05,0.0,0.0,0.005,CCR7-1,HCC22-088-P2-S2,CCR7
0.4366831921806559,0.0,0.0001122002,0.0,0.005,0.0001041202321621212,0.0,0.0,0.005,PDCD1-1,HCC22-088-P2-S2,PDCD1
0.4352626468165981,0.0,0.0001122002,0.0,0.005,0.00012484537533255513,0.0,0.0,0.005,CD40-1,HCC22-088-P2-S2,CD40
0.43487363223734116,0.0,0.0001122002,0.0,0.005,0.0001276498611924644,0.0,0.0,0.005,CD3E-1,HCC22-088-P2-S2,CD3E
0.41276554187708825,0.0,0.0001122002,0.0,0.005,0.00014046935101551922,0.0,0.0,0.005,CD27-1,HCC22-088-P2-S2,CD27
0.3742954354802087,0.0,0.0001122002,0.0,0.005,8.334889331824562e-05,0.0,0.0,0.005,PECAM1-1,HCC22-088-P2-S2,PECAM1
0.3691153622355847,0.0,0.0001122002,0.0,0.005,0.00012644638602799806,0.0,0.0,0.005,mouse_IgG1k,HCC22-088-P2-S2,mouse_IgG1k
0.3575194039038997,0.0,0.0001122002,0.0,0.005,0.00010918037036524761,0.0,0.0,0.005,rat_IgG2a,HCC22-088-P2-S2,rat_IgG2a
0.3369574375675053,0.0,0.0001122002,0.0,0.005,0.00010573668931623504,0.0,0.0,0.005,PTPRC-1,HCC22-088-P2-S2,PTPRC
