sample,gene,r_pearson,r_spearman,n_spots
HCC22-088-P2-S2,CCR7,-0.028724064488924467,-0.03167852767199515,4734
HCC22-088-P2-S2,CD27,-0.019207590906853415,-0.018028249882118968,4734
HCC22-088-P2-S2,CXCR5,0.001386474048172194,0.0007833677281121207,4734
HCC22-088-P3-S1_A,CD3E,0.05822928026071583,0.08911028862938108,418
HCC22-088-P3-S1_A,CD4,-0.288392404198088,-0.29722371313901946,418
HCC22-088-P3-S1_A,CD8A,0.07905552443358842,0.10197387647999183,418
HCC22-088-P3-S1_A,CD68,0.2903660155889913,0.30617887014809236,418
HCC22-088-P3-S1_A,CD14,-0.06285927605209221,-0.04544743267278715,418
HCC22-088-P3-S1_A,CD19,-0.11320478501482942,-0.1297975293279726,418
HCC22-088-P3-S1_A,MS4A1,-0.11471478911124541,-0.13080443291659896,418
HCC22-088-P3-S1_A,EPCAM,0.31632508186781916,0.3445300969168202,418
HCC22-088-P3-S1_A,PECAM1,0.17276051390792968,0.2776852895173047,418
HCC22-088-P3-S1_A,VIM,0.3079314285666307,0.5661794151336963,418
HCC22-088-P3-S1_A,KRT5,0.29729594589886316,0.402512681004619,418
HCC22-088-P3-S1_A,PCNA,0.2366895627840474,0.2789006530479935,418
HCC22-088-P3-S1_A,CD274,0.1262205334637377,0.1222007036402548,418
HCC22-088-P3-S1_A,PDCD1,-0.11286413911864357,-0.11117148738887998,418
HCC22-088-P3-S1_A,ACTA2,0.30780401870017593,0.42712945150602183,418
HCC22-088-P3-S1_A,BCL2,0.21456325886030364,0.23746161638902716,418
HCC22-088-P3-S1_A,CD163,-0.08801131707953526,-0.08853689484175202,418
HCC22-088-P3-S1_A,CR2,-0.0033835930834076496,0.006696247554595362,418
HCC22-088-P3-S1_A,PAX5,-0.040731642008681124,-0.05643329607495027,418
HCC22-088-P3-S1_A,SDC1,0.09477792633053242,0.04718702965579886,418
HCC22-088-P3-S1_A,FCGR3A,0.3310362200824437,0.33305087621948837,418
HCC22-088-P3-S1_A,ITGAX,0.0934342022435504,0.09599103828268404,418
HCC22-088-P3-S1_A,ITGAM,-0.12925377070935823,-0.14764094829638405,418
HCC22-088-P3-S1_A,CCR7,-0.027306395346398636,-0.03216250396959737,418
HCC22-088-P3-S1_A,CD27,-0.10025865735185335,-0.11857485494522181,418
HCC22-088-P3-S1_A,CXCR5,-0.04898873716128271,-0.06107789436161223,418
HCC22-088-P3-S2,CD3E,-0.04675097169021221,-0.04775847253636529,4485
HCC22-088-P3-S2,CD4,-0.053504324219585994,-0.04516653897257143,4485
HCC22-088-P3-S2,CD8A,0.02207602056257059,0.023068033612012456,4485
HCC22-088-P3-S2,CD68,0.0708585800803109,0.07913911454389151,4485
HCC22-088-P3-S2,CD14,-0.058636755884635225,-0.07714925457082863,4485
HCC22-088-P3-S2,CD19,-0.03446892231414726,-0.04113970260059038,4485
HCC22-088-P3-S2,MS4A1,-0.023047244129027557,-0.027135470395676504,4485
HCC22-088-P3-S2,EPCAM,0.06800878748749367,0.08764839761373124,4485
HCC22-088-P3-S2,PECAM1,-0.04441081983627533,-0.02592717563475842,4485
HCC22-088-P3-S2,VIM,0.15118329768113153,0.07023154623935948,4485
HCC22-088-P3-S2,KRT5,0.016621318455386135,-0.0016860443587109757,4485
HCC22-088-P3-S2,PCNA,0.14566905359772872,0.17159657846928225,4485
HCC22-088-P3-S2,CD274,0.0295944854076808,0.021757460971100064,4485
HCC22-088-P3-S2,PDCD1,-0.021941153450885667,-0.024643998325179908,4485
HCC22-088-P3-S2,ACTA2,0.31140492531930997,0.3043683188234657,4485
HCC22-088-P3-S2,BCL2,0.2933762591600796,0.31512386833387346,4485
HCC22-088-P3-S2,CD163,-0.03697709198693984,-0.0327975166397188,4485
HCC22-088-P3-S2,CR2,-0.026896097404457833,-0.027135739065876633,4485
HCC22-088-P3-S2,PAX5,0.014412146882971247,0.009823757990787196,4485
HCC22-088-P3-S2,SDC1,0.17185208373152233,0.19290463248561898,4485
HCC22-088-P3-S2,FCGR3A,0.102842415470178,0.06111371239783464,4485
HCC22-088-P3-S2,ITGAX,0.13087188934745408,0.13128116669142353,4485
HCC22-088-P3-S2,ITGAM,-0.08633603973698879,-0.09176961187854071,4485
HCC22-088-P3-S2,CCR7,-0.016195914942929046,-0.01454538359206047,4485
HCC22-088-P3-S2,CD27,-0.011767896250837327,-0.004718424571731408,4485
HCC22-088-P3-S2,CXCR5,-0.007418115165525593,-0.008620287261406907,4485
HCC22-088-P4-S1,CD3E,0.1093723469413124,0.09568935506598449,693
HCC22-088-P4-S1,CD4,-0.07790145326870088,-0.07389749461057732,693
HCC22-088-P4-S1,CD8A,0.07513635250890832,0.07604387793278108,693
HCC22-088-P4-S1,CD68,0.1909148577642333,0.1957195838000728,693
HCC22-088-P4-S1,CD14,-0.008181451650312453,-0.01217918533103212,693
HCC22-088-P4-S1,CD19,,,693
HCC22-088-P4-S1,MS4A1,,,693
HCC22-088-P4-S1,EPCAM,0.09655010728563278,0.10379897370334569,693
HCC22-088-P4-S1,PECAM1,0.0167778024916315,0.024901356739597088,693
HCC22-088-P4-S1,VIM,0.07121251526907997,0.153256998625135,693
HCC22-088-P4-S1,KRT5,-0.05500107077827576,-0.058259084690765364,693
HCC22-088-P4-S1,PCNA,0.05751696110921267,0.060887776222507024,693
HCC22-088-P4-S1,CD274,0.04130385382441073,0.05554343749313719,693
HCC22-088-P4-S1,PDCD1,-0.013838184716121683,-0.014235920055956724,693
HCC22-088-P4-S1,ACTA2,0.042436554631033005,0.04254215138813816,693
HCC22-088-P4-S1,BCL2,0.043526852112232915,0.052369086492469324,693
HCC22-088-P4-S1,CD163,-0.06015062013074529,-0.05553375897718081,693
HCC22-088-P4-S1,CR2,,,693
HCC22-088-P4-S1,PAX5,,,693
HCC22-088-P4-S1,SDC1,0.0035299959529503135,0.003666449589545255,693
HCC22-088-P4-S1,FCGR3A,0.06268740513227088,0.06515570623010376,693
HCC22-088-P4-S1,ITGAX,0.02805444240632555,0.022403093435657977,693
HCC22-088-P4-S1,ITGAM,0.009958705576688718,0.02213307975629501,693
HCC22-088-P4-S1,CCR7,-0.06519320313719293,-0.0713201095196356,693
HCC22-088-P4-S1,CD27,-0.06563426529405253,-0.08065393690076023,693
HCC22-088-P4-S1,CXCR5,-0.0022166124700155037,-0.04066479307294006,693
HCC22-088-P4-S2,CD3E,0.03185258295910005,0.029518651184021315,4747
HCC22-088-P4-S2,CD4,-0.023320875074596507,-0.027869703870578397,4747
HCC22-088-P4-S2,CD8A,0.07732574527271285,0.07190555356289934,4747
HCC22-088-P4-S2,CD68,0.15022005836003388,0.1508236175496222,4747
HCC22-088-P4-S2,CD14,0.07886520903454616,0.05102136879347528,4747
