sample,marker,state,hotspot_delta
HCC22-088-P1-S1,ACTA2,fibroblast,0.04553633245726629
HCC22-088-P1-S1,ACTA2,endothelial,0.03032936059528471
HCC22-088-P1-S1,ACTA2,epithelial_tumour,-0.014860064627771848
HCC22-088-P1-S2,ACTA2,T_cells,-0.00030446118267968975
HCC22-088-P1-S2,ACTA2,B_cells,-0.0026376907352022305
HCC22-088-P1-S2,ACTA2,myeloid,0.0029762363500759614
HCC22-088-P1-S2,ACTA2,fibroblast,-0.0819009585151187
HCC22-088-P1-S2,ACTA2,endothelial,-0.00036474298811579875
HCC22-088-P1-S2,ACTA2,epithelial_tumour,0.0965136340233142
HCC22-088-P2-S1,ACTA2,T_cells,0.0041980540380532035
HCC22-088-P2-S1,ACTA2,B_cells,-0.002253445182312991
HCC22-088-P2-S1,ACTA2,myeloid,0.04555169370547782
HCC22-088-P2-S1,ACTA2,fibroblast,-0.06739583197902799
HCC22-088-P2-S1,ACTA2,endothelial,-0.0015737641830091964
HCC22-088-P2-S1,ACTA2,epithelial_tumour,0.0182661493762893
HCC22-088-P2-S2,ACTA2,T_cells,0.0026798132978018445
HCC22-088-P2-S2,ACTA2,B_cells,-0.003848546039043641
HCC22-088-P2-S2,ACTA2,myeloid,0.06658068449119607
HCC22-088-P2-S2,ACTA2,fibroblast,-0.08078067973018133
HCC22-088-P2-S2,ACTA2,endothelial,0.008149955558009951
HCC22-088-P2-S2,ACTA2,epithelial_tumour,0.0207422783224835
HCC22-088-P3-S1_A,ACTA2,T_cells,0.01297982648768388
HCC22-088-P3-S1_A,ACTA2,B_cells,-0.014386554388048166
HCC22-088-P3-S1_A,ACTA2,myeloid,0.02181755426970948
HCC22-088-P3-S1_A,ACTA2,fibroblast,-0.03877612997299562
HCC22-088-P3-S1_A,ACTA2,endothelial,0.0053724196882323355
HCC22-088-P3-S1_A,ACTA2,epithelial_tumour,-0.0028598469532872817
HCC22-088-P3-S2,ACTA2,T_cells,0.005067771168031306
HCC22-088-P3-S2,ACTA2,B_cells,0.008328185560287887
HCC22-088-P3-S2,ACTA2,myeloid,0.007160966910098564
HCC22-088-P3-S2,ACTA2,fibroblast,-0.030642080520225767
HCC22-088-P3-S2,ACTA2,endothelial,0.0008214600910926018
HCC22-088-P3-S2,ACTA2,epithelial_tumour,0.010444802076148313
HCC22-088-P4-S1,ACTA2,T_cells,0.02344785576804531
HCC22-088-P4-S1,ACTA2,B_cells,0.0011864545613735605
HCC22-088-P4-S1,ACTA2,myeloid,0.05862876287482688
HCC22-088-P4-S1,ACTA2,fibroblast,-0.1093641946575995
HCC22-088-P4-S1,ACTA2,endothelial,0.007766202304421044
HCC22-088-P4-S1,ACTA2,epithelial_tumour,0.008686186378812702
HCC22-088-P4-S2,ACTA2,T_cells,0.004047668857693192
HCC22-088-P4-S2,ACTA2,B_cells,-0.0017175406907431467
HCC22-088-P4-S2,ACTA2,myeloid,0.014582907650984939
HCC22-088-P4-S2,ACTA2,fibroblast,-0.029195395342595964
HCC22-088-P4-S2,ACTA2,endothelial,0.003325598614097154
HCC22-088-P4-S2,ACTA2,epithelial_tumour,0.0142947861464999
HCC22-088-P5-S1,ACTA2,T_cells,0.0052311835667892565
HCC22-088-P5-S1,ACTA2,B_cells,-0.004203351012519743
HCC22-088-P5-S1,ACTA2,myeloid,0.019351036344739773
HCC22-088-P5-S1,ACTA2,fibroblast,-0.0018847631618699179
HCC22-088-P5-S1,ACTA2,endothelial,-0.002914043264602678
HCC22-088-P5-S1,ACTA2,epithelial_tumour,0.003874251606253487
