sample,patient,treatment,ligand,receptor,category,interface_score,ref_score,n_interface
HCC22-088-P4-S2,P4,post,CCL3,CCR1,Immune->Tumour,0.08610188,0.1157222,106
HCC22-088-P4-S2,P4,post,TNF,TNFRSF1A,Immune->Tumour,0.313298,0.2537257,106
HCC22-088-P4-S2,P4,post,IL1B,IL1R1,Immune->Tumour,0.0,0.097203925,106
HCC22-088-P4-S2,P4,post,IFNG,IFNGR1,Immune->Tumour,0.11143125,0.01279161,106
HCC22-088-P4-S2,P4,post,CSF1,CSF1R,Immune->Tumour,0.81834674,0.7338261,106
HCC22-088-P4-S2,P4,post,MIF,CD74,Immune->Tumour,9.218441,12.1250105,106
HCC22-088-P4-S2,P4,post,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.002260238,106
HCC22-088-P4-S2,P4,post,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.59147584,0.64824706,106
HCC22-088-P4-S2,P4,post,CD40LG,CD40,Immune->Immune,0.012044079,0.0112940315,106
HCC22-088-P4-S2,P4,post,MDK,LRP1,Tumour->Immune,9.258462,8.902821,106
HCC22-088-P4-S2,P4,post,MDK,ITGA6,Tumour->Immune,2.2204762,1.4934279,106
HCC22-088-P4-S2,P4,post,TGFB1,TGFBR1,Tumour->Immune,0.699885,0.32649595,106
HCC22-088-P4-S2,P4,post,VEGFA,KDR,Tumour->Immune,0.75799084,0.67637414,106
HCC22-088-P4-S2,P4,post,VEGFA,FLT1,Tumour->Immune,0.7242504,1.3107272,106
HCC22-088-P4-S2,P4,post,AREG,EGFR,Tumour->Immune,0.24167804,0.15162222,106
HCC22-088-P4-S2,P4,post,HBEGF,EGFR,Tumour->Immune,0.04992228,0.012028741,106
HCC22-088-P4-S2,P4,post,CXCL12,CXCR4,Tumour->Immune,1.591664,1.3071871,106
HCC22-088-P4-S2,P4,post,CSF1,CSF1R,Tumour->Immune(myeloid),1.1890808,0.7338261,106
HCC22-088-P4-S2,P4,post,PDGFB,PDGFRB,Tumour->Stroma,0.6068249,1.1145364,106
HCC22-088-P4-S2,P4,post,FGF2,FGFR1,Tumour->Stroma,0.0,0.10284796,106
HCC22-088-P4-S2,P4,post,COL1A1,SDC1,Stroma->Tumour,16.351974,12.392363,106
HCC22-088-P4-S2_1i_rep,P4,post,CXCL10,CXCR3,Immune->Tumour,0.0025212625,0.0011653639,321
HCC22-088-P4-S2_1i_rep,P4,post,CXCL9,CXCR3,Immune->Tumour,0.002294939,0.00037736344,321
HCC22-088-P4-S2_1i_rep,P4,post,CXCL11,CXCR3,Immune->Tumour,0.0,0.0,321
HCC22-088-P4-S2_1i_rep,P4,post,CCL5,CCR5,Immune->Tumour,0.0,0.0018415579,321
HCC22-088-P4-S2_1i_rep,P4,post,CCL2,CCR2,Immune->Tumour,0.009556035,0.0031969803,321
HCC22-088-P4-S2_1i_rep,P4,post,CCL3,CCR1,Immune->Tumour,0.0,0.0009840162,321
HCC22-088-P4-S2_1i_rep,P4,post,TNF,TNFRSF1A,Immune->Tumour,0.026172379,0.0,321
HCC22-088-P4-S2_1i_rep,P4,post,IL1B,IL1R1,Immune->Tumour,0.035159044,0.018813167,321
HCC22-088-P4-S2_1i_rep,P4,post,IFNG,IFNGR1,Immune->Tumour,0.025098158,0.0023796295,321
HCC22-088-P4-S2_1i_rep,P4,post,CSF1,CSF1R,Immune->Tumour,0.10065333,0.06300275,321
HCC22-088-P4-S2_1i_rep,P4,post,MIF,CD74,Immune->Tumour,1.728242,1.2639645,321
HCC22-088-P4-S2_1i_rep,P4,post,CD274,PDCD1,Immune->Immune(checkpoint),0.004470177,0.0,321
HCC22-088-P4-S2_1i_rep,P4,post,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.013695544,0.00185093,321
HCC22-088-P4-S2_1i_rep,P4,post,CD40LG,CD40,Immune->Immune,0.0,0.0,321
HCC22-088-P4-S2_1i_rep,P4,post,MDK,LRP1,Tumour->Immune,1.6837456,1.8118145,321
HCC22-088-P4-S2_1i_rep,P4,post,MDK,ITGA6,Tumour->Immune,0.41925982,1.1935169,321
HCC22-088-P4-S2_1i_rep,P4,post,TGFB1,TGFBR1,Tumour->Immune,0.029072644,0.007900258,321
HCC22-088-P4-S2_1i_rep,P4,post,VEGFA,KDR,Tumour->Immune,0.0,0.028199641,321
HCC22-088-P4-S2_1i_rep,P4,post,VEGFA,FLT1,Tumour->Immune,0.0,0.04214706,321
HCC22-088-P4-S2_1i_rep,P4,post,AREG,EGFR,Tumour->Immune,0.0,0.022435276,321
HCC22-088-P4-S2_1i_rep,P4,post,HBEGF,EGFR,Tumour->Immune,0.019903522,0.043198694,321
HCC22-088-P4-S2_1i_rep,P4,post,CXCL12,CXCR4,Tumour->Immune,0.04979838,0.17371444,321
HCC22-088-P4-S2_1i_rep,P4,post,CSF1,CSF1R,Tumour->Immune(myeloid),0.044251483,0.06300275,321
HCC22-088-P4-S2_1i_rep,P4,post,PDGFB,PDGFRB,Tumour->Stroma,0.25554073,0.059372637,321
HCC22-088-P4-S2_1i_rep,P4,post,FGF2,FGFR1,Tumour->Stroma,0.03267813,0.04227592,321
HCC22-088-P4-S2_1i_rep,P4,post,COL1A1,SDC1,Stroma->Tumour,1.6812147,0.58468807,321
HCC22-088-P5-S1,P5,pre,CXCL10,CXCR3,Immune->Tumour,0.0,0.0,313
HCC22-088-P5-S1,P5,pre,CXCL9,CXCR3,Immune->Tumour,0.0020993312,0.0,313
HCC22-088-P5-S1,P5,pre,CXCL11,CXCR3,Immune->Tumour,0.0,0.0,313
HCC22-088-P5-S1,P5,pre,CCL5,CCR5,Immune->Tumour,0.0,0.004044062,313
HCC22-088-P5-S1,P5,pre,CCL2,CCR2,Immune->Tumour,0.00557721,0.0,313
HCC22-088-P5-S1,P5,pre,CCL3,CCR1,Immune->Tumour,0.0,0.002510811,313
HCC22-088-P5-S1,P5,pre,TNF,TNFRSF1A,Immune->Tumour,0.040191583,0.017992524,313
