gene,mean,median,I_Q25,count
MYLK,0.12715549323227382,0.08078982348570274,0.06712937924749965,14
LRIG1,0.1271430820656235,0.11413462188644655,0.05759738066630493,14
CAPN8,0.12714178296516146,0.07672204667026378,0.05151710948967457,14
SPIN1,0.1270930200458829,0.1120913796529073,0.07739223093380798,14
SPINT1,0.12661586271812955,0.10358212300127265,0.05552881577667654,14
TSTD1,0.12661078464334377,0.13857504071373733,0.07605370360977476,14
SH3GLB2,0.12631614877946065,0.1059517188925932,0.06792890299596949,14
ACP5,0.12624621813367748,0.06398703055121319,0.022490173110369854,14
A2M,0.12613329262624132,0.1162408319202537,0.08626103757377987,14
ADAR,0.12611995136674164,0.11759193238553325,0.08401062894197571,14
SMIM14,0.1258561280976534,0.10585347427035821,0.06459512817584151,14
SELENBP1,0.12581402797156088,0.08975738037919911,0.06508704985034981,14
CCNI,0.12573603697358918,0.11974887118644024,0.058882069556820904,14
FBP1,0.12554839611234742,0.10299446027854676,0.054032826247888126,14
HIST1H1C,0.12544941227229445,0.12158718477841637,0.050799435405025024,14
ADSS,0.12538564203928657,0.1041172262561649,0.06973490160365221,14
SYNM,0.12531451374802208,0.10833723553774455,-0.0005123461693402873,14
TTC3,0.12498302429123068,0.13570183818322668,0.06403432425471262,14
CHIT1,0.12493167341436894,0.022803008701280037,-0.0015270545951710877,14
CCL19,0.12487575072741822,0.10722846824548705,0.023110454068982968,14
TMC5,0.1247740756070073,0.08272025771151457,0.052507298655979764,14
PLAAT4,0.12456296802495083,0.09001258242181068,0.05770994694632031,14
PTN,0.12454334173673512,0.07063675629876204,0.017921428457694545,14
CTNND1,0.1243814687648406,0.11354163897414185,0.07033390643427472,14
MMP12,0.12414819010991032,0.036725282666815434,-0.003072635477989187,14
NQO1,0.1240390724344586,0.0893703033603065,0.05606969593774233,14
ELP2,0.12397053642388849,0.11563562178728387,0.07789703281183656,14
HES1,0.12339930727226847,0.11377474745806103,0.04506036363197623,14
OLFM4,0.12323941929039886,0.06666266776469293,,13
VAMP8,0.12319610631243803,0.10276415665843101,0.07093497908078719,14
B4GALT1,0.12317793525282007,0.09821799024792557,0.05983077070241961,14
